"Impor Gula Menurut Negara Asal Utama, 2017-2024",,,,,,,,,,,
,,,,,,,,,,,
Negara Asal,2017,2018,2019,2020,2021,2022,2023,2024,,,
,Berat Bersih : Ton ,,,,,,,,,,
India,0.0,0.0,540.0,"619,904.1","1,967,271.3","1,612,627.0","311,355.7","26,919.0",,,
Australia,"646,850.0","922,897.0","542,205.0","1,214,466.0","1,331,388.0","653,559.0","892,800.0","787,538.0",,,
Thailand,"2,440,823.5","4,037,528.5","3,539,251.3","2,027,117.0","1,033,800.0","2,418,667.7","2,374,009.2","981,870.2",,,
Brasil,"1,079,177.1","60,000.0",0.0,"1,547,314.2","1,143,038.3","1,317,453.8","1,467,981.0","3,406,716.8",,,
Korea Selatan,"7,084.8","7,190.8","7,200.0","4,742.4","4,992.0","4,992.0","4,992.0","2,995.2",,,
Uni Emirat Arab,0.0,0.0,0.0,0.0,"2,080.0",0.0,0.0,15.9,,,
Jerman,0.0,6.0,6.0,6.9,20.1,34.8,42.0,39.0,,,
Lainnya,"310,164.0","1,231.7",850.9,"126,127.9",27.0,268.3,"18,275.3","107,435.1",,,
Jumlah,"4,484,099.4","5,028,853.9","4,090,053.2","5,539,678.6","5,482,616.7","6,007,602.6","5,069,455.2","5,313,529.2",,,
,,,,,,,,,,,
,Nilai CIF: 000 US$ ,,,,,,,,,,
India,0.0,0.0,208.0,"229,160.8","857,266.6","813,883.4","177,762.9","18,670.6",,,
Australia,"293,110.2","314,706.2","189,614.8","429,170.5","582,768.0","321,230.3","512,496.8","442,508.6",,,
Thailand,"1,145,222.5","1,451,006.4","1,170,596.8","709,762.7","482,022.2","1,216,063.4","1,285,526.5","587,643.6",,,
Brasil,"470,982.3","24,530.6",0.0,"523,669.2","455,193.0","642,610.8","886,953.8","1,905,064.4",,,
Korea Selatan,"5,156.9","5,025.0","4,784.8","3,116.3","3,433.0","3,783.0","3,718.3","2,492.0",,,
Uni Emirat Arab,0.0,0.0,0.0,0.1,"1,081.6",0.0,0.1,0.7,,,
Jerman,0.0,133.3,133.4,131.7,355.8,641.7,738.5,685.2,,,
Lainnya,"159,740.6",820.5,580.7,"40,916.3",117.6,59.3,"13,918.6","71,845.4",,,
Jumlah,"2,074,212.6","1,796,221.9","1,365,918.4","1,935,927.4","2,382,237.8","2,998,271.9","2,881,115.5","3,028,910.5",,,
Catatan :,Data dikutip dari Publikasi Statistik Indonesia,,,,,,,,,,
Sumber :,"Kementerian Keuangan (Ditjen Bea dan Cukai), dokumen PEB dan PIB",,,,,,,,,,
