38 Provinsi,,,
,"Luas Panen, Produksi, dan Produktivitas Jagung Menurut Provinsi",,
,Luas Panen (ha),Produktivitas (ku/ha),Produksi (ton)
,2022,2022,2022
ACEH,12453.57,58.01,72241.64
SUMATERA UTARA,207756.79,62.93,1307477.02
SUMATERA BARAT,84565.06,67.34,569450.41
RIAU,217.27,34.64,752.62
JAMBI,1892.18,55.37,10477.45
SUMATERA SELATAN,60187.49,76.48,460321.16
BENGKULU,10416.56,68.89,71755.99
LAMPUNG,223859.75,64.46,1443095.58
KEP. BANGKA BELITUNG,62.8,41.08,257.95
KEP. RIAU,2.45,51.31,12.59
DKI JAKARTA,0,0,0
JAWA BARAT,95689.92,75.98,727067.64
JAWA TENGAH,404493.43,59.94,2424371.35
DI YOGYAKARTA,42974.56,50.74,218046.4
JAWA TIMUR,817449.46,60.59,4952602.76
BANTEN,1250.54,76.79,9602.73
BALI,10316.71,51.57,53206.31
NUSA TENGGARA BARAT,196064.93,72.52,1421921.9
NUSA TENGGARA TIMUR,113624.53,25.85,293719.22
KALIMANTAN BARAT,16371.14,43.81,71717.47
KALIMANTAN TENGAH,7459.13,48.17,35933.96
KALIMANTAN SELATAN,25342.64,60.08,152255.06
KALIMANTAN TIMUR,3624.48,47.03,17045.44
KALIMANTAN UTARA,163.32,52.63,859.57
SULAWESI UTARA,34918.69,34.08,119008.39
SULAWESI TENGAH,22349.74,43.04,96199.79
SULAWESI SELATAN,196218.71,58.71,1152062.7
SULAWESI TENGGARA,19674.51,39.73,78163.06
GORONTALO,140548.34,49.27,692439.15
SULAWESI BARAT,5670.96,53.23,30186.61
MALUKU,2698.04,58.14,15687
MALUKU UTARA,1694.49,45.51,7712.31
PAPUA BARAT,1351.48,47.96,6481.32
PAPUA BARAT DAYA,-,-,-
PAPUA,3002.53,50.42,15140.06
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,2764366.2,59.79,16527272.61
