38 Provinsi,,,
,"Luas Panen, Produksi, dan Produktivitas Padi Menurut Provinsi",,
,Luas Panen (ha),Produktivitas (ku/ha),Produksi (ton)
,2021,2021,2021
ACEH,297058.38,55.03,1634639.6
SUMATERA UTARA,385405,52,2004142.51
SUMATERA BARAT,272391.95,48.36,1317209.38
RIAU,53062.35,40.98,217458.87
JAMBI,64412.26,46.29,298149.25
SUMATERA SELATAN,496241.65,51.44,2552443.19
BENGKULU,55704.69,48.67,271117.19
LAMPUNG,489573.23,50.77,2485452.78
KEP. BANGKA BELITUNG,18278.27,38.57,70496.25
KEP. RIAU,270.16,31.65,855.01
DKI JAKARTA,559.97,58.03,3249.47
JAWA BARAT,1604109.31,56.81,9113573.08
JAWA TENGAH,1696712.36,56.69,9618656.81
DI YOGYAKARTA,107506.16,51.77,556531.03
JAWA TIMUR,1747481.2,56.02,9789587.67
BANTEN,318248.46,50.38,1603247
BALI,105201.31,58.83,618910.81
NUSA TENGGARA BARAT,276211.88,51.39,1419559.84
NUSA TENGGARA TIMUR,174900.07,41.85,731877.74
KALIMANTAN BARAT,223165.74,31.9,711898.01
KALIMANTAN TENGAH,125870.05,30.28,381189.55
KALIMANTAN SELATAN,254263.59,39.97,1016313.55
KALIMANTAN TIMUR,66269.46,36.92,244677.96
KALIMANTAN UTARA,8880.83,33.74,29967.31
SULAWESI UTARA,59182.52,39.35,232884.76
SULAWESI TENGAH,182186.62,47.59,867012.77
SULAWESI SELATAN,985158.23,51.67,5090637.23
SULAWESI TENGGARA,127517.29,41.57,530029.08
GORONTALO,48713.5,48.12,234392.86
SULAWESI BARAT,59763.18,52.05,311072.46
MALUKU,28319.75,41.24,116803.67
MALUKU UTARA,7781.96,36.05,28050.8
PAPUA BARAT,6414.94,41.98,26926.93
PAPUA BARAT DAYA,-,-,-
PAPUA,64984.9,44.05,286279.8
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,10411801.22,52.26,54415294.22
