Jenis Tanaman,Produksi Tanaman Sayuran dan Buah-Buahan Semusim
Bawang Daun/Scallion(kw/qui),6278531
Bawang Merah/Shallots(kw/qui),20045904
Bawang Putih/Garlic(kw/qui),450916
Bayam/Spinach(kw/qui),1717057
Buncis/string bean(kw/qui),3207737
Cabai Rawit/Chili/Cayenne Pepper(kw/qui),13864469
Kacang Panjang/Long Beans(kw/qui),3836853
Kangkung/Water Spinach(kw/qui),3411963
Kembang Kol/Cauliflower(kw/qui),2033847
Kentang/Potato(kw/qui),13610640
Ketimun/Cucumber(kw/qui),4719409
Kubis/Cabbage(kw/qui),14346705
Labu Siam/Chayote(kw/qui),5169537
Melon/Melon(kw/qui),1291471
Paprika/Bell Pepper(kw/qui),126647
Petsai/Sawi/Chinese Cabbage/mustard green(kw/qui),7274670
Semangka/Watermelon(kw/qui),4142424
Stroberi/Strawberry(kw/qui),98596
Terung/Eggplant(kw/qui),6763392
Tomat/Tomato(kw/qui),11143995
Wortel/Carrot(kw/qui),7200900
"Cabai Besar/TW/Teropong / Chili/Big chili
(kw/qui)",5003861
"Cabai Keriting/Chili/Curly chili
(kw/qui)",8601851
Jamur Tiram/King Oyster Mushroom(kg),692428
Jamur Merang/Straw Mushroom(kg),112837
Jamur Lainnya/Mushroom(kg),98937
