Komoditas Ekspor Pertanian,,,,,,,,,,,,,
,Berat Bersih Ekspor Bulanan Hasil Pertanian Menurut Komoditas (Ribu Ton),,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Sayur-sayuran,4.1,3.7,7,6.5,5.3,3.5,7.5,10.4,14.2,16.7,7.5,5,91.3
Tembakau,0.6,1.1,1.2,1,0.9,1,1.2,1.4,1.5,1.4,1.3,1.2,13.8
Jagung,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.1,6.3,18.3,41.8,94.6,162
Kopi,36.9,29.3,27.3,21.2,24.3,25,34.1,55.2,49.5,45.6,51.1,34.4,433.9
"Tanaman Obat, Aromatik, dan Rempah-Rempah",22.4,23.6,28.7,26.7,16.8,29.8,21.4,20.7,23.9,20.3,19.5,20.8,274.6
Lada Hitam,0.6,1.1,2.9,1.4,1,1.6,0.8,0.9,0.7,0.6,0.8,0.8,13.2
Lada Putih,0.8,1.2,1.8,2,1.2,0.9,0.8,1,0.8,0.9,0.8,0.6,12.9
Biji Kakao,2.4,1.2,1,1,1.7,1.9,2.5,2.6,1.6,2.2,3.3,3.1,24.5
Buah-buahan Tahunan,70.3,79.9,96.6,74,42.4,53,37.2,76,60.5,68.1,62.9,49.4,770.3
Sarang Burung,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,1.4
Hasil Hutan Bukan Kayu Lainnya,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.3,2.8
Ikan Segar/Dingin Hasil Tangkapan,4.3,3.7,5.1,4.5,3.2,4.6,3.9,4.5,4.6,4.3,4.5,4.9,52.1
Rumput Laut dan Ganggang Lainnya,14.1,14.6,17.1,21.2,16.9,21.3,18.7,22.9,21.8,24.7,23.5,20.5,237.3
Lainnya,362.7,351.1,400.4,314.5,346.1,386.6,471.1,435,341.7,502.9,468,436,4816
Jumlah,519.6,510.9,589.9,474.5,460.2,529.5,599.7,631.1,527.4,706.4,685.4,671.7,6906.1
