"Imports of Rice by Major Countries of Origin, 2017-2024",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country of Origin ,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,
,Netweight : Ton ,,,,,,,,,,,,,,,,,,,,
India,"32,209.7","337,999.0","7,973.3","10,594.4","215,386.5","178,533.6","69,715.7","246,587.9",,,,,,,,,,,,,
Thailand,"108,944.8","795,600.1","53,278.0","88,593.1","69,360.0","80,182.5","1,381,921.2","1,364,232.8",,,,,,,,,,,,,
Vietnam,"16,599.9","767,180.9","33,133.1","88,716.4","65,692.9","81,828.0","1,147,705.3","1,248,245.0",,,,,,,,,,,,,
Pakistan,"87,500.0","310,990.0","182,564.9","110,516.5","52,479.0","84,407.0","309,309.7","803,844.7",,,,,,,,,,,,,
Myanmar,"57,475.0","41,820.0","166,700.6","57,841.4","3,790.0","3,830.0","141,204.0","831,379.0",,,,,,,,,,,,,
Japan,72.1,0.2,90.0,0.3,230.3,56.1,61.5,100.7,,,,,,,,,,,,,
China,"2,419.0",227.7,24.3,23.8,42.6,6.0,7.0,19.3,,,,,,,,,,,,,
Others,54.3,6.5,744.6,0.3,760.1,364.1,"12,933.3","25,011.2",,,,,,,,,,,,,
Total,"305,274.8","2,253,824.4","444,508.8","356,286.2","407,741.4","429,207.3","3,062,857.6","4,519,420.6",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Value: 000 US$ ,,,,,,,,,,,,,,,,,,,,
India,"13,397.1","139,158.5","3,018.5","4,849.3","86,276.3","77,739.7","35,505.0","124,541.5",,,,,,,,,,,,,
Thailand,"60,286.9","386,533.7","38,561.5","76,301.6","41,322.6","44,092.0","804,815.8","862,780.8",,,,,,,,,,,,,
Vietnam,"6,761.3","360,745.6","16,609.5","51,107.5","32,474.5","42,464.3","668,871.3","752,859.6",,,,,,,,,,,,,
Pakistan,"34,793.1","134,416.0","67,819.9","41,519.8","20,322.1","35,843.5","182,322.5","472,410.5",,,,,,,,,,,,,
Myanmar,"19,546.1","15,161.4","56,287.2","21,147.8","1,609.4","1,478.2","88,822.9","480,766.2",,,,,,,,,,,,,
Japan,235.0,1.7,243.2,1.2,578.9,150.3,155.4,256.5,,,,,,,,,,,,,
China,"8,118.7","1,094.1",482.5,479.3,850.5,120.0,142.5,385.7,,,,,,,,,,,,,
Others,503.4,17.3,"1,231.7",2.4,367.5,154.1,"8,388.5","16,254.5",,,,,,,,,,,,,
Total,"143,641.6","1,037,128.3","184,254.0","195,408.9","183,801.8","202,042.2","1,789,023.9","2,710,255.3",,,,,,,,,,,,,
Notes:,Since 2008 Including Bounded Zones,,,,,,,,,,,,,,,,,,,,
,Based on customs declaration documents from Directorate General of Customs and Excise (Exports and Imports Declaration),,,,,,,,,,,,,,,,,,,,
,Data cited from Statistical Yearbook of Indonesia,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
