38 Provinsi,,,
,"Luas Panen, Produksi, dan Produktivitas Padi Menurut Provinsi",,
,Luas Panen (ha),Produktivitas (ku/ha),Produksi (ton)
,2022,2022,2022
ACEH,271750.2,55.55,1509456
SUMATERA UTARA,411462.1,50.76,2088584
SUMATERA BARAT,271883.1,50.52,1373532
RIAU,51054.04,41.83,213557.2
JAMBI,60539.59,45.88,277743.8
SUMATERA SELATAN,513378.2,54.06,2775069
BENGKULU,57151.84,49.27,281610.1
LAMPUNG,518256.1,51.87,2688160
KEP. BANGKA BELITUNG,15107.8,40.66,61425.07
KEP. RIAU,179.48,28.24,506.91
DKI JAKARTA,477.25,48.98,2337.77
JAWA BARAT,1662404,56.75,9433723
JAWA TENGAH,1688670,55.41,9356445
DI YOGYAKARTA,110927.2,50.64,561699.5
JAWA TIMUR,1693211,56.26,9526516
BANTEN,337240.7,53.04,1788583
BALI,112320.6,60.59,680601.6
NUSA TENGGARA BARAT,270092.9,53.79,1452945
NUSA TENGGARA TIMUR,183092,41.29,756049.9
KALIMANTAN BARAT,241478.6,30.28,731225.8
KALIMANTAN TENGAH,108226.8,31.78,343918.8
KALIMANTAN SELATAN,214908.9,38.13,819419.2
KALIMANTAN TIMUR,64970.01,36.85,239425.3
KALIMANTAN UTARA,8604.19,35.49,30533.59
SULAWESI UTARA,58195.56,41.88,243730.3
SULAWESI TENGAH,168993.2,44.05,744408.7
SULAWESI SELATAN,1038084,51.64,5360169
SULAWESI TENGGARA,118258.8,40.5,478958
GORONTALO,46823.47,51.29,240134.5
SULAWESI BARAT,69323.95,50.99,353513.3
MALUKU,23987.82,38.6,92601.06
MALUKU UTARA,6416.45,38.16,24486.03
PAPUA BARAT,5460.59,43.89,23963.92
PAPUA BARAT DAYA,-,-,-
PAPUA,49741.91,38.99,193943.5
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,10452672,52.38,54748977
