Jenis Tanaman,Produksi Tanaman Sayuran dan Buah-Buahan Semusim
Bawang Daun/Scallion(kw/qui),6396754.47
Bawang Merah/Shallots(kw/qui),19852333.42
Bawang Putih/Garlic(kw/qui),392544.28
Bayam/Spinach(kw/qui),1706875.98
Buncis/string bean(kw/qui),3050486.73
Cabai Rawit/Chili/Cayenne Pepper(kw/qui),15067621.12
Kacang Panjang/Long Beans(kw/qui),3094216.64
Kangkung/Water Spinach(kw/qui),3220828.37
Kembang Kol/Cauliflower(kw/qui),1750727.33
Kentang/Potato(kw/qui),12485134.4
Ketimun/Cucumber(kw/qui),4167280.67
Kubis/Cabbage(kw/qui),13990052.55
Labu Siam/Chayote(kw/qui),4532631.54
Melon/Melon(kw/qui),1177938.09
Paprika/Bell Pepper(kw/qui),204728.83
Petsai/Sawi/Chinese Cabbage/mustard green(kw/qui),6868756.65
Semangka/Watermelon(kw/qui),4081153.28
Stroberi/Strawberry(kw/qui),277207.65
Terung/Eggplant(kw/qui),6998963.19
Tomat/Tomato(kw/qui),11437876.66
Wortel/Carrot(kw/qui),6681779.51
"Cabai Besar/TW/Teropong / Chili/Big chili
(kw/qui)",3950407.75
"Cabai Keriting/Chili/Curly chili
(kw/qui)",11594575.53
Jamur Tiram/King Oyster Mushroom(kg),537865.73
Jamur Merang/Straw Mushroom(kg),46410.06
Jamur Lainnya/Mushroom(kg),23986.2
,
Catatan,
Angka tetap,
