Provinsi,Tahun,Produksi_Beras_Ton,Konsumsi_Total_Ton,harga_rata2beras_konsumen,Risk_Score_IKP,Kelompok_IKP,Kerentanan_Area,Surplus_Defisit_Ton,edr_kberas,Produksi_DagingSapi_Ton,Produksi_Jagung_Ton
Aceh,2021,1046496.2719200001,688313.985,11376.791666666666,71.63,5,Tahan,358182.2869200001,0.0,11674.1,57835.8
Aceh,2022,966353.7312,697889.495,11465.125,70.16,5,Tahan,268464.23620000004,0.0,12014.96,72241.64
Aceh,2023,898991.131764,707516.625,12720.25,72.96,5,Tahan,191474.50676400005,0.0,15644.5,66363.62
Aceh,2024,1062710.412456,716846.94,13726.967741935483,73.94,5,Tahan,345863.47245600005,0.0,11006.35,52249.4
Bali,2021,396226.70056200004,908781.5721428571,11107.333333333334,83.82,6,Sangat Tahan,-512554.8715808571,0.5640022721546618,4650.67,50117.54
Bali,2022,435721.14431999996,919696.8664285714,11294.708333333334,85.19,6,Sangat Tahan,-483975.72210857144,0.5262339579213512,4694.03,53206.31
Bali,2023,431226.33213,917447.1492857143,13156.833333333334,87.65,6,Sangat Tahan,-486220.81715571426,0.5299714730535326,4076.0,46901.81
Bali,2024,406830.03867,923488.0564285715,14201.258064516129,88.23,6,Sangat Tahan,-516658.0177585715,0.5594636705499538,4882.25,39055.43
Banten,2021,1026398.7294,1664056.2321428573,10668.333333333334,74.38,5,Tahan,-637657.5027428573,0.3831946844258537,17933.48,9393.64
Banten,2022,1145050.8366,1690338.4285714284,10758.833333333334,73.78,5,Tahan,-545287.5919714284,0.322590779902148,17242.69,9602.73
Banten,2023,1079686.602258,1698023.0392857143,12349.041666666666,78.71,6,Sangat Tahan,-618336.4370277142,0.36415079343553663,20754.6,14367.12
Banten,2024,992709.139092,1715089.2214285715,13693.290322580646,79.25,6,Sangat Tahan,-722380.0823365715,0.4211909638933362,19259.7,12677.14
Bengkulu,2021,173569.225038,311033.7,10823.375,70.32,5,Tahan,-137464.474962,0.4419600672274419,4348.01,36934.89
Bengkulu,2022,180286.78601999997,315195.3,11112.791666666666,67.99,5,Tahan,-134908.51398000002,0.4280156270731195,3329.27,71755.99
Bengkulu,2023,183535.372086,319158.0,12771.833333333334,72.27,5,Tahan,-135622.627914,0.42493883253435605,3355.5,50421.07
Bengkulu,2024,174677.64171,323166.60000000003,14176.741935483871,73.39,5,Tahan,-148488.95829000004,0.4594811415845574,1762.84,62876.83
DKI Jakarta,2021,2080.310694,1544090.267857143,11881.375,78.01,6,Sangat Tahan,-1542009.957163143,0.9986527272807133,16381.81,0.0
DKI Jakarta,2022,1496.640354,1554321.4285714284,11450.291666666666,78.25,6,Sangat Tahan,-1552824.7882174284,0.9990371101327634,17617.61,0.0
DKI Jakarta,2023,1712.0740560000002,1553171.6964285714,12367.916666666666,83.8,6,Sangat Tahan,-1551459.6223725714,0.9988976916976167,17664.8,0.0
DKI Jakarta,2024,1476.646908,1555034.5535714286,14650.807692307691,85.13,6,Sangat Tahan,-1553557.9066634285,0.9990504089413262,14925.17,0.0
Daerah Istimewa Yogyakarta,2021,356291.165406,497342.955,10387.416666666666,81.43,6,Sangat Tahan,-141051.78959400003,0.28361071203672733,7830.73,197154.61
Daerah Istimewa Yogyakarta,2022,359600.0199,503906.505,10633.291666666666,80.88,6,Sangat Tahan,-144306.4851,0.28637551543415773,7899.9,218046.4
Daerah Istimewa Yogyakarta,2023,341939.584338,500504.17500000005,12505.166666666666,83.17,6,Sangat Tahan,-158564.59066200006,0.31680972623654946,7998.2,217545.73
Daerah Istimewa Yogyakarta,2024,289902.899154,503585.02499999997,13601.645161290322,84.15,6,Sangat Tahan,-213682.12584599998,0.4243218428625831,6700.69,189378.3
Gorontalo,2021,150058.308972,485947.7571428572,10780.666666666666,80.52,6,Sangat Tahan,-335889.44817085715,0.6912048532659727,2899.38,669890.37
Gorontalo,2022,153734.10689999998,490761.9728571428,10973.25,80.35,6,Sangat Tahan,-337027.8659571428,0.6867440523050654,2918.75,692439.15
Gorontalo,2023,160966.61275200002,499197.1371428572,12891.875,81.63,6,Sangat Tahan,-338230.5243908572,0.6775490066443719,3137.5,527923.15
Gorontalo,2024,150359.215776,505204.62,14136.516129032258,81.47,6,Sangat Tahan,-354845.404224,0.7023795709231637,1900.72,625972.1
Jambi,2021,190875.14985,440941.6921428571,11358.875,74.18,5,Tahan,-250066.54229285714,0.567119296607226,4638.46,9719.01
Jambi,2022,177811.58075999998,446599.3635714285,11359.875,69.5,5,Tahan,-268787.78281142854,0.6018543794195063,5760.1,10477.45
Jambi,2023,176657.71629,452515.31999999995,12599.041666666666,72.17,5,Tahan,-275857.60370999994,0.6096094242952923,4920.9,4724.77
Jambi,2024,179910.31641,458062.2978571428,13661.161290322581,74.94,6,Sangat Tahan,-278151.9814471428,0.6072361396001441,3571.72,10530.87
Jawa Barat,2021,5834509.485816,6733713.428571429,10802.916666666666,77.79,6,Sangat Tahan,-899203.9427554291,0.13353760184389032,78134.54,491527.65
Jawa Barat,2022,6039469.4646,6819764.892857144,10982.791666666666,77.55,6,Sangat Tahan,-780295.428257144,0.11441676370316028,84960.62,727067.64
Jawa Barat,2023,5851453.09584,6882502.125,12363.041666666666,82.19,6,Sangat Tahan,-1031049.0291600004,0.14980729543327245,76287.2,577185.49
Jawa Barat,2024,5522928.518382,6949435.642857144,13706.612903225807,82.97,6,Sangat Tahan,-1426507.1244751438,0.2052694920545605,85241.7,564290.8
Jawa Tengah,2021,6157864.089762,5128465.660714286,10647.791666666666,82.73,6,Sangat Tahan,1029398.429047714,0.0,65150.77,2128959.17
Jawa Tengah,2022,5989996.089,5168929.488571429,10957.125,82.95,6,Sangat Tahan,821066.600428571,0.0,61393.95,2424371.35
Jawa Tengah,2023,5815645.640706,5239919.15,12588.708333333334,84.8,6,Sangat Tahan,575726.4907059995,0.0,65995.4,2174484.3
Jawa Tengah,2024,5692208.37141,5288953.102142857,13746.677419354839,85.34,6,Sangat Tahan,403255.26926714275,0.0,83275.69,2426509.0
Jawa Timur,2021,6267294.026334,11422412.694285715,10650.833333333334,79.7,6,Sangat Tahan,-5155118.667951715,0.45131609283655666,108284.07,3991492.48
Jawa Timur,2022,6098875.5432,11498191.785714285,10892.208333333334,79.85,6,Sangat Tahan,-5399316.242514285,0.46957959504750696,110991.18,4952602.76
Jawa Timur,2023,6216765.383466,11603785.143571427,12275.5,82.46,6,Sangat Tahan,-5387019.760105427,0.46424676891659544,102711.7,4795780.82
Jawa Timur,2024,5934932.672657999,11683867.325,13271.774193548386,83.86,6,Sangat Tahan,-5748934.652342,0.4920403914584849,96907.31,4595792.0
Kalimantan Barat,2021,455757.106002,714017.5542857143,13065.5,71.32,5,Tahan,-258260.4482837143,0.36170041861515817,5119.52,44252.44
Kalimantan Barat,2022,468130.75716000004,723231.8628571428,13174.416666666666,70.81,5,Tahan,-255101.10569714278,0.3527238203933113,5095.89,71717.47
Kalimantan Barat,2023,448326.17016000004,733920.9828571429,14261.708333333334,72.2,5,Tahan,-285594.8126971429,0.3891356418034633,4726.1,66248.12
Kalimantan Barat,2024,489614.81283,743344.1142857143,15243.322580645161,73.94,5,Tahan,-253729.30145571433,0.341334916870264,3890.08,90419.41
Kalimantan Selatan,2021,650643.9347100001,598307.0485714286,13166.458333333334,80.29,6,Sangat Tahan,52336.886138571426,0.0,7328.53,135325.9
Kalimantan Selatan,2022,524592.17184,606942.1985714287,13700.083333333334,81.05,6,Sangat Tahan,-82350.02673142869,0.13568017996649023,7351.35,152255.06
Kalimantan Selatan,2023,560524.376346,612776.3671428572,14995.083333333334,81.26,6,Sangat Tahan,-52251.990796857164,0.08527089750619513,7892.4,112150.44
Kalimantan Selatan,2024,659129.388786,620192.4371428572,14223.354838709678,82.95,6,Sangat Tahan,38936.95164314273,0.0,5272.95,109438.4
Kalimantan Tengah,2021,244037.54991,347136.1928571428,13412.125,73.68,5,Tahan,-103098.64294714283,0.2969976771899756,3965.53,35440.16
Kalimantan Tengah,2022,220176.81576,352133.45357142854,13545.208333333334,69.96,5,Tahan,-131956.63781142855,0.3747347389834456,4113.87,35933.96
Kalimantan Tengah,2023,211766.02821,356321.3892857143,14443.166666666666,68.9,5,Tahan,-144555.36107571432,0.4056881383559139,4026.7,25482.89
Kalimantan Tengah,2024,234407.19416400002,360946.10357142857,15160.064516129032,70.16,5,Tahan,-126538.90940742855,0.35057563485343857,1448.19,44638.26
